date,ticker,sector,m6,m12,vol,roe,de,fcf,r6,r12,rv,rq,score,weight
2017-06-30,META,Communication Services,0.2976,0.3211,0.0102,0.3024,39.164,0.1166,1.0,0.4,1.0,0.6,0.79,0.1
2017-06-30,TSLA,Consumer Discretionary,0.6844,0.7035,0.0234,0.0493,17.763,0.0394,1.0,0.8571,0.2857,0.5714,0.7571,0.1
2017-06-30,PEP,Consumer Staples,0.1152,0.1212,0.0058,0.4285,258.081,0.0877,1.0,1.0,1.0,0.625,0.9438,0.1
2017-06-30,VRTX,Health Care,0.7312,0.4981,0.0179,0.2254,10.908,0.2144,1.0,1.0,0.4,0.4,0.79,0.1
2017-06-30,CSX,Industrials,0.5173,1.1322,0.0135,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-06-30,ADBE,Technology,0.3642,0.4766,0.0094,0.5877,58.34,0.3812,1.0,0.64,0.92,0.92,0.882,0.1
2017-06-30,ADSK,Technology,0.3446,0.8622,0.0232,0.3968,89.787,0.3868,0.96,0.88,0.16,0.76,0.75,0.1
2017-06-30,LRCX,Technology,0.3287,0.7067,0.0173,0.6556,44.195,0.2343,0.84,0.8,0.28,0.84,0.718,0.1
2017-06-30,MU,Technology,0.3408,1.1701,0.0219,0.3982,14.902,0.0498,0.88,0.92,0.2,0.62,0.715,0.1
2017-06-30,NVDA,Technology,0.3003,2.0925,0.0339,1.0148,7.255,0.2692,0.72,1.0,0.08,1.0,0.704,0.1
2017-07-31,META,Communication Services,0.2922,0.3656,0.0119,0.3024,39.164,0.1166,1.0,0.8,0.6,0.6,0.81,0.1
2017-07-31,BKNG,Consumer Discretionary,0.266,0.5017,0.0111,0.0,0.0,0.2434,0.7143,0.8571,1.0,1.0,0.85,0.1
2017-07-31,PEP,Consumer Staples,0.1401,0.1011,0.0055,0.4285,258.081,0.0877,0.75,1.0,1.0,0.625,0.8438,0.1
2017-07-31,VRTX,Health Care,0.7992,0.5652,0.0322,0.2254,10.908,0.2144,1.0,1.0,0.2,0.4,0.75,0.1
2017-07-31,CTAS,Industrials,0.1605,0.2733,0.0151,0.413,60.943,0.1368,1.0,0.6667,0.3333,1.0,0.7833,0.1
2017-07-31,NVDA,Technology,0.4805,1.8622,0.0336,1.0148,7.255,0.2692,1.0,1.0,0.08,1.0,0.816,0.1
2017-07-31,CDNS,Technology,0.4127,0.5343,0.0106,0.2186,48.707,0.2851,0.92,0.68,0.88,0.44,0.78,0.1
2017-07-31,ADBE,Technology,0.287,0.4969,0.011,0.5877,58.34,0.3812,0.76,0.64,0.84,0.92,0.77,0.1
2017-07-31,LRCX,Technology,0.3838,0.8018,0.016,0.6556,44.195,0.2343,0.88,0.84,0.4,0.84,0.768,0.1
2017-07-31,PYPL,Technology,0.4689,0.5722,0.0144,0.2573,60.703,0.0987,0.96,0.76,0.6,0.16,0.718,0.1
2017-08-31,NFLX,Communication Services,0.2556,0.7928,0.024,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2017-08-31,TSLA,Consumer Discretionary,0.4147,0.6787,0.0245,0.0493,17.763,0.0394,1.0,1.0,0.4286,0.5714,0.8214,0.1
2017-08-31,PEP,Consumer Staples,0.0613,0.1149,0.0055,0.4285,258.081,0.0877,0.75,1.0,1.0,0.625,0.8438,0.1
2017-08-31,ISRG,Health Care,0.3489,0.4636,0.0123,0.1669,0.953,0.226,0.8,0.8,0.8,0.8,0.8,0.1
2017-08-31,HON,Industrials,0.1065,0.2165,0.0066,0.2614,236.613,0.1245,0.6667,0.6667,1.0,0.6667,0.7333,0.1
2017-08-31,NVDA,Technology,0.7248,1.7753,0.0259,1.0148,7.255,0.2692,1.0,1.0,0.08,1.0,0.816,0.1
2017-08-31,ADBE,Technology,0.2926,0.5166,0.0115,0.5877,58.34,0.3812,0.84,0.64,0.72,0.92,0.778,0.1
2017-08-31,LRCX,Technology,0.4086,0.8042,0.0196,0.6556,44.195,0.2343,0.92,0.92,0.2,0.84,0.764,0.1
2017-08-31,ADSK,Technology,0.3415,0.6982,0.0161,0.3968,89.787,0.3868,0.88,0.84,0.32,0.76,0.74,0.1
2017-08-31,PYPL,Technology,0.4334,0.6603,0.0144,0.2573,60.703,0.0987,0.96,0.8,0.56,0.16,0.72,0.1
2017-09-29,NFLX,Communication Services,0.2269,0.876,0.0231,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2017-09-29,MAR,Consumer Discretionary,0.1784,0.6661,0.0111,0.0,0.0,0.2397,0.7143,0.8571,1.0,0.8571,0.8286,0.1
2017-09-29,MNST,Consumer Staples,0.1967,0.1402,0.0079,0.2682,0.8,0.1826,1.0,0.75,0.75,1.0,0.8875,0.1
2017-09-29,ISRG,Health Care,0.3645,0.4526,0.0116,0.1669,0.953,0.226,0.8,0.8,0.8,0.8,0.8,0.1
2017-09-29,CSX,Industrials,0.1747,0.8397,0.0151,0.2251,148.222,0.0689,1.0,1.0,0.6667,0.3333,0.8333,0.1
2017-09-29,NVDA,Technology,0.6443,1.6648,0.024,1.0148,7.255,0.2692,1.0,1.0,0.08,1.0,0.816,0.1
2017-09-29,ASML,Technology,0.302,0.5902,0.0132,0.5046,23.916,0.3323,0.8,0.8,0.6,0.96,0.784,0.1
2017-09-29,LRCX,Technology,0.4495,1.012,0.0197,0.6556,44.195,0.2343,0.92,0.92,0.16,0.84,0.756,0.1
2017-09-29,MU,Technology,0.3609,1.2423,0.0236,0.3982,14.902,0.0498,0.88,0.96,0.12,0.62,0.709,0.1
2017-09-29,PYPL,Technology,0.4884,0.5853,0.0133,0.2573,60.703,0.0987,0.96,0.76,0.52,0.16,0.702,0.1
2017-10-31,NFLX,Communication Services,0.2625,0.5731,0.0168,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2017-10-31,MAR,Consumer Discretionary,0.2399,0.7634,0.0114,0.0,0.0,0.2397,1.0,1.0,0.8571,0.8571,0.95,0.1
2017-10-31,MNST,Consumer Staples,0.2893,0.204,0.0071,0.2682,0.8,0.1826,1.0,1.0,0.75,1.0,0.95,0.1
2017-10-31,ISRG,Health Care,0.3321,0.6755,0.0103,0.1669,0.953,0.226,1.0,0.8,0.8,0.8,0.88,0.1
2017-10-31,CTAS,Industrials,0.233,0.4152,0.0104,0.413,60.943,0.1368,1.0,0.6667,0.6667,1.0,0.85,0.1
2017-10-31,NVDA,Technology,0.9876,1.9199,0.0218,1.0148,7.255,0.2692,1.0,1.0,0.12,1.0,0.824,0.1
2017-10-31,ASML,Technology,0.3472,0.7283,0.012,0.5046,23.916,0.3323,0.8,0.76,0.6,0.96,0.774,0.1
2017-10-31,LRCX,Technology,0.3974,1.1829,0.0178,0.6556,44.195,0.2343,0.88,0.92,0.2,0.84,0.748,0.1
2017-10-31,ADSK,Technology,0.3386,0.7288,0.0118,0.3968,89.787,0.3868,0.76,0.8,0.64,0.76,0.746,0.1
2017-10-31,MU,Technology,0.5825,1.5822,0.0229,0.3982,14.902,0.0498,0.96,0.96,0.08,0.62,0.733,0.1
2017-11-30,META,Communication Services,0.1534,0.4962,0.0127,0.3024,39.164,0.1166,1.0,0.8,0.8,0.6,0.85,0.1
2017-11-30,MAR,Consumer Discretionary,0.1608,0.6325,0.0088,0.0,0.0,0.2397,0.8571,0.8571,0.8571,0.8571,0.8571,0.1
2017-11-30,MNST,Consumer Staples,0.2224,0.4004,0.0086,0.2682,0.8,0.1826,1.0,1.0,0.75,1.0,0.95,0.1
2017-11-30,ISRG,Health Care,0.297,0.8631,0.0097,0.1669,0.953,0.226,1.0,1.0,1.0,0.8,0.97,0.1
2017-11-30,CTAS,Industrials,0.2408,0.3889,0.0107,0.413,60.943,0.1368,1.0,0.3333,0.6667,1.0,0.7667,0.1
2017-11-30,NVDA,Technology,0.3995,1.1854,0.0202,1.0148,7.255,0.2692,0.96,1.0,0.24,1.0,0.832,0.1
2017-11-30,ASML,Technology,0.303,0.7188,0.0152,0.5046,23.916,0.3323,0.88,0.8,0.48,0.96,0.792,0.1
2017-11-30,PYPL,Technology,0.415,0.928,0.017,0.2573,60.703,0.0987,1.0,0.92,0.44,0.16,0.742,0.1
2017-11-30,CDNS,Technology,0.245,0.6709,0.0104,0.2186,48.707,0.2851,0.76,0.76,0.84,0.44,0.728,0.1
2017-11-30,ADBE,Technology,0.2648,0.7651,0.0202,0.5877,58.34,0.3812,0.84,0.84,0.2,0.92,0.724,0.1
2017-12-29,NFLX,Communication Services,0.2848,0.5316,0.016,0.4276,63.782,0.5493,1.0,1.0,0.4,1.0,0.88,0.1
2017-12-29,MAR,Consumer Discretionary,0.3612,0.6496,0.0089,0.0,0.0,0.2397,1.0,0.8571,1.0,0.8571,0.9429,0.1
2017-12-29,MNST,Consumer Staples,0.274,0.4055,0.0091,0.2682,0.8,0.1826,1.0,1.0,0.75,1.0,0.95,0.1
2017-12-29,ISRG,Health Care,0.1705,0.7199,0.0144,0.1669,0.953,0.226,1.0,0.8,0.6,0.8,0.84,0.1
2017-12-29,CTAS,Industrials,0.2499,0.3543,0.0085,0.413,60.943,0.1368,1.0,0.6667,0.6667,1.0,0.85,0.1
2017-12-29,NVDA,Technology,0.3407,0.7433,0.0186,1.0148,7.255,0.2692,0.84,0.92,0.24,1.0,0.764,0.1
2017-12-29,ASML,Technology,0.3339,0.5792,0.0139,0.5046,23.916,0.3323,0.8,0.72,0.56,0.96,0.756,0.1
2017-12-29,MU,Technology,0.3771,0.8464,0.0244,0.3982,14.902,0.0498,0.96,1.0,0.08,0.62,0.743,0.1
2017-12-29,TXN,Technology,0.3746,0.4441,0.0082,0.3015,90.819,-0.017,0.92,0.6,0.96,0.04,0.716,0.1
2017-12-29,LRCX,Technology,0.3086,0.7387,0.0185,0.6556,44.195,0.2343,0.76,0.88,0.28,0.84,0.706,0.1
2018-01-31,NFLX,Communication Services,0.4849,0.921,0.0215,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-01-31,MAR,Consumer Discretionary,0.4099,0.7636,0.0097,0.0,0.0,0.2397,0.8571,0.8571,1.0,0.8571,0.8857,0.1
2018-01-31,MNST,Consumer Staples,0.2845,0.6016,0.0118,0.2682,0.8,0.1826,1.0,1.0,0.25,1.0,0.85,0.1
2018-01-31,ISRG,Health Care,0.3763,0.8695,0.0178,0.1669,0.953,0.226,1.0,0.8,0.2,0.8,0.76,0.1
2018-01-31,CTAS,Industrials,0.2566,0.4667,0.009,0.413,60.943,0.1368,1.0,1.0,0.6667,1.0,0.9333,0.1
2018-01-31,NVDA,Technology,0.4967,1.2601,0.021,1.0148,7.255,0.2692,0.96,1.0,0.28,1.0,0.84,0.1
2018-01-31,ADBE,Technology,0.3556,0.7619,0.0154,0.5877,58.34,0.3812,0.84,0.88,0.64,0.92,0.822,0.1
2018-01-31,ASML,Technology,0.3448,0.6884,0.0173,0.5046,23.916,0.3323,0.8,0.8,0.44,0.96,0.752,0.1
2018-01-31,MU,Technology,0.5427,0.8134,0.0278,0.3982,14.902,0.0498,1.0,0.92,0.08,0.62,0.739,0.1
2018-01-31,PYPL,Technology,0.4378,1.1448,0.0174,0.2573,60.703,0.0987,0.92,0.96,0.4,0.16,0.712,0.1
2018-02-28,NFLX,Communication Services,0.7435,1.0501,0.0255,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-02-28,AMZN,Consumer Discretionary,0.5988,0.7898,0.0161,0.2229,43.435,0.0332,0.8571,0.8571,0.5714,0.4286,0.7357,0.1
2018-02-28,COST,Consumer Staples,0.2585,0.1342,0.0139,0.2965,60.257,0.0234,1.0,0.75,0.5,0.625,0.7812,0.1
2018-02-28,ISRG,Health Care,0.2975,0.7359,0.0209,0.1669,0.953,0.226,1.0,0.8,0.2,0.8,0.76,0.1
2018-02-28,CTAS,Industrials,0.2889,0.462,0.014,0.413,60.943,0.1368,1.0,1.0,0.6667,1.0,0.9333,0.1
2018-02-28,ADBE,Technology,0.3778,0.7672,0.0179,0.5877,58.34,0.3812,0.84,0.88,0.64,0.92,0.822,0.1
2018-02-28,NVDA,Technology,0.4689,1.3925,0.0272,1.0148,7.255,0.2692,0.96,1.0,0.16,1.0,0.816,0.1
2018-02-28,MU,Technology,0.5705,1.0823,0.0325,0.3982,14.902,0.0498,1.0,0.96,0.04,0.62,0.741,0.1
2018-02-28,CSCO,Technology,0.4427,0.3554,0.0156,0.2375,66.509,0.1715,0.92,0.56,0.76,0.2,0.69,0.1
2018-02-28,FTNT,Technology,0.3545,0.3513,0.0157,1.3572,85.802,0.2569,0.76,0.52,0.72,0.68,0.68,0.1
2018-03-29,NFLX,Communication Services,0.6231,1.0165,0.03,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-03-29,AMZN,Consumer Discretionary,0.5221,0.6554,0.0192,0.2229,43.435,0.0332,1.0,1.0,0.4286,0.4286,0.8,0.1
2018-03-29,COST,Consumer Staples,0.1525,0.1847,0.0141,0.2965,60.257,0.0234,1.0,0.75,0.5,0.625,0.7812,0.1
2018-03-29,ISRG,Health Care,0.2094,0.6175,0.0205,0.1669,0.953,0.226,1.0,1.0,0.4,0.8,0.85,0.1
2018-03-29,CTAS,Industrials,0.1975,0.3639,0.0162,0.413,60.943,0.1368,1.0,1.0,0.6667,1.0,0.9333,0.1
2018-03-29,ADBE,Technology,0.4757,0.6675,0.0198,0.5877,58.34,0.3812,1.0,0.88,0.6,0.92,0.878,0.1
2018-03-29,PANW,Technology,0.2973,0.6003,0.0161,0.1626,4.887,0.289,0.76,0.8,0.88,0.88,0.812,0.1
2018-03-29,FTNT,Technology,0.4212,0.3986,0.0172,1.3572,85.802,0.2569,0.96,0.52,0.8,0.68,0.776,0.1
2018-03-29,NVDA,Technology,0.3196,1.1646,0.0291,1.0148,7.255,0.2692,0.84,1.0,0.16,1.0,0.768,0.1
2018-03-29,INTU,Technology,0.207,0.4863,0.0157,0.2346,36.148,0.2635,0.68,0.68,0.96,0.54,0.715,0.1
2018-04-30,NFLX,Communication Services,0.6006,1.053,0.0297,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-04-30,AMZN,Consumer Discretionary,0.6105,0.6931,0.0229,0.2229,43.435,0.0332,1.0,1.0,0.5714,0.4286,0.8286,0.1
2018-04-30,COST,Consumer Staples,0.2204,0.1692,0.0148,0.2965,60.257,0.0234,1.0,0.75,0.75,0.625,0.8312,0.1
2018-04-30,ISRG,Health Care,0.1837,0.582,0.0222,0.1669,0.953,0.226,1.0,1.0,0.4,0.8,0.85,0.1
2018-04-30,CTAS,Industrials,0.136,0.4058,0.017,0.413,60.943,0.1368,0.6667,1.0,0.6667,1.0,0.8,0.1
2018-04-30,PANW,Technology,0.2938,0.7758,0.0161,0.1626,4.887,0.289,0.92,0.96,0.96,0.88,0.932,0.1
2018-04-30,FTNT,Technology,0.3805,0.4195,0.0181,1.3572,85.802,0.2569,1.0,0.68,0.84,0.68,0.84,0.1
2018-04-30,ADBE,Technology,0.2754,0.6569,0.0211,0.5877,58.34,0.3812,0.88,0.88,0.64,0.92,0.838,0.1
2018-04-30,INTU,Technology,0.2269,0.4907,0.0179,0.2346,36.148,0.2635,0.8,0.8,0.88,0.54,0.777,0.1
2018-04-30,NVDA,Technology,0.1508,1.1633,0.0301,1.0148,7.255,0.2692,0.72,1.0,0.2,1.0,0.728,0.1
2018-05-31,NFLX,Communication Services,0.7652,1.1561,0.0261,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-05-31,BKNG,Consumer Discretionary,0.2037,0.1235,0.0142,0.0,0.0,0.2434,0.8571,0.7143,0.8571,1.0,0.8429,0.1
2018-05-31,COST,Consumer Staples,0.148,0.1117,0.012,0.2965,60.257,0.0234,1.0,1.0,0.75,0.625,0.8938,0.1
2018-05-31,ISRG,Health Care,0.1428,0.5076,0.0192,0.1669,0.953,0.226,1.0,1.0,0.2,0.8,0.81,0.1
2018-05-31,CTAS,Industrials,0.1988,0.4637,0.0133,0.413,60.943,0.1368,0.6667,1.0,0.6667,1.0,0.8,0.1
2018-05-31,PANW,Technology,0.3956,0.7547,0.0152,0.1626,4.887,0.289,0.96,0.92,0.88,0.88,0.922,0.1
2018-05-31,FTNT,Technology,0.4511,0.5552,0.0154,1.3572,85.802,0.2569,1.0,0.76,0.84,0.68,0.86,0.1
2018-05-31,ADBE,Technology,0.3446,0.7572,0.0193,0.5877,58.34,0.3812,0.92,0.96,0.48,0.92,0.842,0.1
2018-05-31,INTU,Technology,0.3002,0.4479,0.0145,0.2346,36.148,0.2635,0.88,0.68,0.92,0.54,0.787,0.1
2018-05-31,NVDA,Technology,0.1983,0.752,0.0247,1.0148,7.255,0.2692,0.72,0.88,0.24,1.0,0.706,0.1
2018-06-29,NFLX,Communication Services,1.0312,1.608,0.0218,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2018-06-29,AMZN,Consumer Discretionary,0.4331,0.7417,0.0151,0.2229,43.435,0.0332,1.0,1.0,0.7143,0.4286,0.8571,0.1
2018-06-29,COST,Consumer Staples,0.1261,0.3325,0.0085,0.2965,60.257,0.0234,1.0,1.0,1.0,0.625,0.9438,0.1
2018-06-29,ISRG,Health Care,0.2972,0.5427,0.018,0.1669,0.953,0.226,1.0,1.0,0.4,0.8,0.85,0.1
2018-06-29,CTAS,Industrials,0.1816,0.5046,0.0096,0.413,60.943,0.1368,1.0,1.0,0.6667,1.0,0.9333,0.1
2018-06-29,ADBE,Technology,0.3888,0.7262,0.0144,0.5877,58.34,0.3812,0.88,1.0,0.72,0.92,0.884,0.1
2018-06-29,FTNT,Technology,0.4185,0.6542,0.0149,1.3572,85.802,0.2569,0.96,0.92,0.68,0.68,0.852,0.1
2018-06-29,PANW,Technology,0.399,0.5254,0.0155,0.1626,4.887,0.289,0.92,0.72,0.48,0.88,0.776,0.1
2018-06-29,INTU,Technology,0.2944,0.5505,0.0135,0.2346,36.148,0.2635,0.84,0.8,0.76,0.54,0.769,0.1
2018-06-29,MSFT,Technology,0.1608,0.4679,0.012,0.3439,31.539,0.1756,0.68,0.6,0.92,0.62,0.699,0.1
2018-07-31,NFLX,Communication Services,0.2104,0.8576,0.0219,0.4276,63.782,0.5493,1.0,1.0,0.4,1.0,0.88,0.1
2018-07-31,AMZN,Consumer Discretionary,0.2362,0.7994,0.0112,0.2229,43.435,0.0332,1.0,1.0,0.8571,0.4286,0.8857,0.1
2018-07-31,COST,Consumer Staples,0.1113,0.3961,0.0073,0.2965,60.257,0.0234,1.0,1.0,1.0,0.625,0.9438,0.1
2018-07-31,ISRG,Health Care,0.1878,0.6249,0.0143,0.1669,0.953,0.226,1.0,1.0,0.8,0.8,0.93,0.1
2018-07-31,CTAS,Industrials,0.2331,0.533,0.0109,0.413,60.943,0.1368,0.6667,1.0,0.6667,1.0,0.8,0.1
2018-07-31,FTNT,Technology,0.3754,0.7044,0.0162,1.3572,85.802,0.2569,0.96,0.96,0.52,0.68,0.83,0.1
2018-07-31,ADBE,Technology,0.2427,0.6703,0.0143,0.5877,58.34,0.3812,0.84,0.92,0.6,0.92,0.824,0.1
2018-07-31,PANW,Technology,0.2838,0.5045,0.017,0.1626,4.887,0.289,0.92,0.84,0.44,0.88,0.798,0.1
2018-07-31,MSFT,Technology,0.1542,0.4876,0.0107,0.3439,31.539,0.1756,0.76,0.76,0.92,0.62,0.771,0.1
2018-07-31,INTU,Technology,0.2172,0.5025,0.0123,0.2346,36.148,0.2635,0.8,0.8,0.68,0.54,0.737,0.1
2018-08-31,NFLX,Communication Services,0.1672,1.1045,0.0237,0.4276,63.782,0.5493,1.0,1.0,0.4,1.0,0.88,0.1
2018-08-31,ORLY,Consumer Discretionary,0.3588,0.7102,0.0113,0.0,0.0,0.058,1.0,0.8571,1.0,0.7143,0.9214,0.1
2018-08-31,COST,Consumer Staples,0.2241,0.5039,0.0077,0.2965,60.257,0.0234,1.0,1.0,1.0,0.625,0.9438,0.1
2018-08-31,ISRG,Health Care,0.32,0.6722,0.0127,0.1669,0.953,0.226,1.0,1.0,0.8,0.8,0.93,0.1
2018-08-31,CTAS,Industrials,0.2448,0.5977,0.0101,0.413,60.943,0.1368,0.6667,1.0,1.0,1.0,0.8667,0.1
2018-08-31,ADBE,Technology,0.2479,0.6983,0.0142,0.5877,58.34,0.3812,0.72,0.88,0.64,0.92,0.774,0.1
2018-08-31,FTNT,Technology,0.6537,1.1927,0.0231,1.3572,85.802,0.2569,0.96,1.0,0.12,0.68,0.76,0.1
2018-08-31,INTU,Technology,0.2951,0.5661,0.0118,0.2346,36.148,0.2635,0.84,0.76,0.76,0.54,0.759,0.1
