Date,Strategy_Return,Strategy_Equity,SPY_Return,SPY_Equity
2016-01-04,0.0,10000.0,0.0,10000.0
2016-01-05,0.0,10000.0,0.0016911383756397225,10016.911383756396
2016-01-06,0.0,10000.0,-0.012614114446077962,9890.556917165473
2016-01-07,0.0,10000.0,-0.02399167474558117,9653.265892556181
2016-01-08,0.0,10000.0,-0.010976544725835757,9547.306387736153
2016-01-11,0.0,10000.0,0.0009902150536016396,9556.760274242635
2016-01-12,0.0,10000.0,0.008068090826233831,9633.865084139768
2016-01-13,0.0,10000.0,-0.024940507529871203,9393.591599467018
2016-01-14,0.0,10000.0,0.0164165661474851,9547.802117322128
2016-01-15,0.0,10000.0,-0.021465679218208078,9342.852059832763
2016-01-19,0.0,10000.0,0.0013309159096837053,9355.286610281017
2016-01-20,0.0,10000.0,-0.012815238017710673,9235.396385646363
2016-01-21,0.0,10000.0,0.005602258873719679,9287.135467000167
2016-01-22,0.0,10000.0,0.020515077329095632,9477.661769271464
2016-01-25,0.0,10000.0,-0.015116538876203234,9334.392326680765
2016-01-26,0.0,10000.0,0.013642947016637264,9461.740946626178
2016-01-27,0.0,10000.0,-0.010882950291322468,9358.769290234673
2016-01-28,0.0,10000.0,0.005209245946151908,9407.521421220801
2016-01-29,0.0,10000.0,0.024376890863637035,9636.847544203227
2016-02-01,0.0,10000.0,-0.00036111246495929006,9633.367558432103
2016-02-02,0.0,10000.0,-0.018022432299348856,9459.750843795517
2016-02-03,0.0,10000.0,0.00599523616489428,9516.46428416513
2016-02-04,0.0,10000.0,0.0015680381432638946,9531.386463151708
2016-02-05,0.0,10000.0,-0.019050065215361456,9349.812929435855
2016-02-08,0.0,10000.0,-0.013460904708266996,9223.955988552596
2016-02-09,0.0,10000.0,5.3354259626825495e-05,9224.448125895196
2016-02-10,0.0,10000.0,-0.0008621899898340057,9216.494899059306
2016-02-11,0.0,10000.0,-0.013008028521255044,9096.606470546341
2016-02-12,0.0,10000.0,0.020616901788054642,9284.150312754178
2016-02-16,0.0,10000.0,0.016878511378945138,9440.852949451837
2016-02-17,0.0,10000.0,0.016334288927063678,9595.062569246105
2016-02-18,0.0,10000.0,-0.004096047987116713,9555.760732523086
2016-02-19,0.0,10000.0,-0.00046811982739802804,9551.28749145832
2016-02-22,0.0,10000.0,0.014478832456376711,9689.578982789832
2016-02-23,0.0,10000.0,-0.01262947142976567,9567.20472186023
2016-02-24,0.0,10000.0,0.0045755347628093634,9610.979799648016
2016-02-25,0.0,10000.0,0.012112026574658374,9727.388242389856
2016-02-26,0.0,10000.0,-0.002301240995399856,9705.003177788298
2016-02-29,0.0,10000.0,-0.007842599458239508,9628.890725123963
2016-03-01,0.0,10000.0,0.02350681583593306,9855.235286103776
2016-03-02,0.0,10000.0,0.00449247514968687,9899.509685720914
2016-03-03,0.0,10000.0,0.003919821511092048,9938.313996736266
2016-03-04,0.0,10000.0,0.0032532667535059012,9970.64598324775
2016-03-07,0.0,10000.0,0.000798384712085598,9978.606394570394
2016-03-08,0.0,10000.0,-0.010917733067861368,9869.66263356522
2016-03-09,0.0,10000.0,0.004939503480036578,9918.413866490502
2016-03-10,0.0,10000.0,0.0008024080571837899,9926.372481691458
2016-03-11,0.0,10000.0,0.016137075529276013,10086.555104160241
2016-03-14,0.0,10000.0,-0.001282199332002687,10073.62212994348
2016-03-15,0.0,10000.0,-0.001629479039201076,10057.207373833906
2016-03-16,0.0,10000.0,0.005787225135827079,10115.410697143983
2016-03-17,0.0,10000.0,0.006343612272224464,10179.578940580976
2016-03-18,0.0,10000.0,0.003930105038647325,10219.58575506666
2016-03-21,0.0,10000.0,0.0014187651707693316,10234.084947395639
2016-03-22,0.0,10000.0,-0.0005375684059306662,10228.583426664309
2016-03-23,0.0,10000.0,-0.006599510273948228,10161.079785252101
2016-03-24,0.0,10000.0,-0.00044288431792682825,10156.57960236201
2016-03-28,0.0,10000.0,0.0005909214377772809,10162.581342983536
2016-03-29,0.0,10000.0,0.00924997474845446,10256.58496378525
2016-03-30,0.0,10000.0,0.004388041376739205,10301.59128299038
2016-03-31,0.0,10000.0,-0.002426917857038191,10276.59016714978
2016-04-01,0.0,10000.0,0.006811797059342872,10346.592213830441
2016-04-04,0.0,10000.0,-0.003238076572447457,10313.08915597817
2016-04-05,0.0,10000.0,-0.009987694765751676,10210.085169396278
2016-04-06,0.0,10000.0,0.010921155577408248,10321.591097989842
2016-04-07,0.0,10000.0,-0.011965947162834945,10198.083484274906
2016-04-08,0.0,10000.0,0.0026966262055321266,10225.583903444805
2016-04-11,0.0,10000.0,-0.002347032524105952,10201.584125445446
2016-04-12,0.0,10000.0,0.009312677267949265,10296.588186027555
2016-04-13,0.0,10000.0,0.01010095019282864,10400.593510450688
2016-04-14,0.0,10000.0,4.826801579937978e-05,10401.095526462574
2016-04-15,0.0,10000.0,-0.0011057072921853983,10389.594959292248
2016-04-18,0.0,10000.0,0.007026411538292976,10462.59652919241
2016-04-19,0.0,10000.0,0.0031544498472086957,10495.600265215326
2016-04-20,0.0,10000.0,0.0009526002444262271,10505.59837659337
2016-04-21,0.0,10000.0,-0.005378227492141452,10449.09687858298
2016-04-22,0.0,10000.0,0.0,10449.09687858298
2016-04-25,0.0,10000.0,-0.0017227928719949492,10431.095248961772
