date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2017-02-28,TMUS,0.3605,0.6854,0.0168,0.898,0.8776,0.2857,0.7694,6,0.0667
2017-02-28,MU,0.4197,1.2051,0.0253,0.9184,0.9592,0.0816,0.7633,7,0.0667
2017-02-28,ADI,0.3158,0.5852,0.0149,0.8571,0.7551,0.4082,0.7367,8,0.0667
2017-02-28,MELI,0.2653,1.081,0.0177,0.7959,0.9388,0.2449,0.7286,9,0.0667
2017-02-28,KLAC,0.3528,0.3688,0.0129,0.8776,0.5918,0.5306,0.7224,10,0.0667
2017-02-28,AMAT,0.2159,0.9462,0.0152,0.7551,0.898,0.3673,0.7204,11,0.0667
2017-02-28,LRCX,0.2733,0.6421,0.0161,0.8163,0.8163,0.3265,0.7184,12,0.0667
2017-02-28,ADSK,0.2531,0.668,0.02,0.7755,0.8367,0.1837,0.6755,13,0.0667
2017-02-28,BKNG,0.2144,0.3627,0.0109,0.7347,0.5714,0.6327,0.6653,14,0.0667
2017-02-28,SNPS,0.208,0.5964,0.0138,0.6735,0.7755,0.4694,0.6633,15,0.0667
2017-03-31,MAR,0.4139,0.4257,0.0086,0.898,0.7347,0.8163,0.8327,1,0.0667
2017-03-31,MU,0.6477,1.6201,0.0192,0.9796,0.9592,0.2245,0.8224,2,0.0667
2017-03-31,AMD,1.1814,4.1413,0.0381,1.0,1.0,0.0204,0.8041,3,0.0667
2017-03-31,NVDA,0.6206,2.035,0.0236,0.9592,0.9796,0.102,0.7939,4,0.0667
2017-03-31,AMAT,0.323,0.8414,0.0107,0.7959,0.9184,0.551,0.7837,5,0.0667
2017-03-31,LRCX,0.3881,0.5713,0.0117,0.8367,0.8571,0.4694,0.7694,6,0.0667
2017-03-31,CSX,0.566,0.8579,0.0327,0.9388,0.9388,0.0612,0.7633,7,0.0667
2017-03-31,KLAC,0.4011,0.339,0.0097,0.8776,0.5714,0.6735,0.7449,8,0.0667
2017-03-31,TMUS,0.3902,0.641,0.016,0.8571,0.8776,0.2653,0.7449,9,0.0667
2017-03-31,NFLX,0.529,0.3984,0.0124,0.9184,0.6531,0.4286,0.7408,10,0.0667
2017-03-31,ADI,0.3,0.4245,0.0113,0.7755,0.7143,0.4898,0.7,11,0.0667
2017-03-31,AAPL,0.2928,0.3337,0.0097,0.7551,0.5306,0.7143,0.6796,12,0.0667
2017-03-31,SNPS,0.2209,0.4637,0.0112,0.6531,0.7755,0.5102,0.6612,13,0.0667
2017-03-31,BKNG,0.2084,0.3695,0.0092,0.6327,0.6122,0.7551,0.651,14,0.0667
2017-03-31,AVGO,0.2827,0.4105,0.0121,0.7143,0.6735,0.449,0.649,15,0.0667
2017-04-28,CSX,0.6884,0.8994,0.0141,0.9796,0.9184,0.2653,0.8184,1,0.0667
2017-04-28,AMAT,0.4162,0.9787,0.0109,0.8367,0.9388,0.551,0.8102,2,0.0667
2017-04-28,AMD,0.8244,2.6842,0.0381,1.0,1.0,0.0204,0.8041,3,0.0667
2017-04-28,MU,0.5686,1.3812,0.0187,0.9592,0.9592,0.1633,0.8,4,0.0667
2017-04-28,LRCX,0.4921,0.8813,0.0135,0.898,0.898,0.3061,0.7796,5,0.0667
2017-04-28,MAR,0.4262,0.3858,0.009,0.8571,0.5714,0.7755,0.7551,6,0.0667
2017-04-28,NVDA,0.4494,1.902,0.0232,0.8776,0.9796,0.0816,0.749,7,0.0667
2017-04-28,TMUS,0.359,0.6919,0.0133,0.8163,0.8571,0.3673,0.7388,8,0.0667
2017-04-28,MELI,0.3436,0.8549,0.014,0.7959,0.8776,0.2857,0.7184,9,0.0667
