Date,Strategy_Return,Strategy_Equity,SPY_Return,SPY_Equity
2016-01-04,0.0,10000.0,0.0,10000.0
2016-01-05,0.0,10000.0,0.0016913182915898606,10016.913182915898
2016-01-06,0.0,10000.0,-0.012614204100544257,9890.557795569164
2016-01-07,0.0,10000.0,-0.023991676924021266,9653.26672833951
2016-01-08,0.0,10000.0,-0.010976359683356862,9547.309000609872
2016-01-11,0.0,10000.0,0.0009900268318436822,9556.761092692379
2016-01-12,0.0,10000.0,0.008068091584402692,9633.865916438477
2016-01-13,0.0,10000.0,-0.0249404166356324,9393.593286670684
2016-01-14,0.0,10000.0,0.016416661751049944,9547.80473028489
2016-01-15,0.0,10000.0,-0.021466147496274512,9342.850145678967
2016-01-19,0.0,10000.0,0.0013312047898379475,9355.287392543632
2016-01-20,0.0,10000.0,-0.012815143252889238,9235.398044436239
2016-01-21,0.0,10000.0,0.005601967150179021,9287.134440899998
2016-01-22,0.0,10000.0,0.020515566777851824,9477.66526769717
2016-01-25,0.0,10000.0,-0.015116630766962458,9334.394901312528
2016-01-26,0.0,10000.0,0.013642849494171827,9461.742646070299
2016-01-27,0.0,10000.0,-0.010882760461385477,9358.772767305842
2016-01-28,0.0,10000.0,0.0052087651500496435,9407.520416743417
2016-01-29,0.0,10000.0,0.024377375154994496,9636.85107122064
2016-02-01,0.0,10000.0,-0.00036111239765490577,9633.37108482447
2016-02-02,0.0,10000.0,-0.018022335715143334,9459.755237065208
2016-02-03,0.0,10000.0,0.005994854717785492,9516.465095377225
2016-02-04,0.0,10000.0,0.0015683213987778277,9531.389971227027
2016-02-05,0.0,10000.0,-0.01905015584692371,9349.815506837345
2016-02-08,0.0,10000.0,-0.013461095517732335,9223.956747226632
2016-02-09,0.0,10000.0,5.403579740148601e-05,9224.455171084666
2016-02-10,0.0,10000.0,-0.0008627736254133156,9216.496554454247
2016-02-11,0.0,10000.0,-0.013008125961860628,9096.607206346851
2016-02-12,0.0,10000.0,0.020616607648962892,9284.148388056834
2016-02-16,0.0,10000.0,0.01687880810134046,9440.853747083214
2016-02-17,0.0,10000.0,0.0163348612307308,9595.068782941444
2016-02-18,0.0,10000.0,-0.004096420454641203,9555.763346915313
2016-02-19,0.0,10000.0,-0.00046821376448846763,9551.289206986094
2016-02-22,0.0,10000.0,0.014479114531702697,9689.583417339461
2016-02-23,0.0,10000.0,-0.012630024016981767,9567.203746063917
2016-02-24,0.0,10000.0,0.004576193132227679,9610.985118141276
2016-02-25,0.0,10000.0,0.012111461401024037,9727.38819342546
2016-02-26,0.0,10000.0,-0.0023011490973817716,9705.00402286428
2016-02-29,0.0,10000.0,-0.007842507648089803,9628.892454590223
2016-03-01,0.0,10000.0,0.02350690910325426,9855.237954285287
2016-03-02,0.0,10000.0,0.004492565865557241,9899.513259915651
2016-03-03,0.0,10000.0,0.003919457929125514,9938.313985656712
2016-03-04,0.0,10000.0,0.003253719159044488,9970.650468280443
2016-03-07,0.0,10000.0,0.0007981142849937672,9978.608186849859
2016-03-08,0.0,10000.0,-0.010917913065109253,9869.662610155043
2016-03-09,0.0,10000.0,0.004939686363082618,9918.415647958653
2016-03-10,0.0,10000.0,0.0008024080571837899,9926.374264589072
2016-03-11,0.0,10000.0,0.01613752789032019,10086.561406133636
2016-03-14,0.0,10000.0,-0.0012828220089804443,10073.622143166916
2016-03-15,0.0,10000.0,-0.0016292118804537292,10057.210078292068
2016-03-16,0.0,10000.0,0.005787224619055342,10115.41341205617
2016-03-17,0.0,10000.0,0.00634387805336023,10179.58436120158
2016-03-18,0.0,10000.0,0.003929486099335966,10219.584896445938
2016-03-21,0.0,10000.0,0.0014191170506618889,10234.087683623173
2016-03-22,0.0,10000.0,-0.0005378316145654427,10228.583467720684
2016-03-23,0.0,10000.0,-0.006599248035340177,10161.082508367017
2016-03-24,0.0,10000.0,-0.00044306104361246934,10156.580528546627
2016-03-28,0.0,10000.0,0.000591009911618201,10162.583168307145
2016-03-29,0.0,10000.0,0.009250239856544606,10256.589500176067
2016-03-30,0.0,10000.0,0.004387339748753494,10301.588642976838
2016-03-31,0.0,10000.0,-0.0024267445610087757,10276.589318767743
2016-04-01,0.0,10000.0,0.006811973623199297,10346.593174143642
2016-04-04,0.0,10000.0,-0.0032378164602557824,10313.09280445683
